username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PWaryszak;2017-06-09 05:00;1;3;"#R = transparent, reproducible & quick Excel = dark, slow & freezes. Apparently unconverted still exist in biz @emilywbailey #EARLConf2017 https:// twitter.com/CieraReports/s tatus/872530211220316160 …";;@emilywbailey;#R #EARLConf2017;"873027013329657856";https://twitter.com/PWaryszak/status/873027013329657856
tlk05c;2017-06-09 04:26;1;2;"Went to San Francisco for the EARL Conference #EARLConf2017 pic.twitter.com/mHp4WAjvrI";;;#EARLConf2017;"873018370500833281";https://twitter.com/tlk05c/status/873018370500833281
AriLamstein;2017-06-08 23:48;1;2;"If you saw my talk at #EARLConf2017 yesterday you know that I relied heavily on pre-selling. https:// twitter.com/mainebob/statu s/872925736985927680 …";;;#EARLConf2017;"872948359299948544";https://twitter.com/AriLamstein/status/872948359299948544
groundwalkergmb;2017-06-08 21:48;3;14;". @hspter et al: My trackr talk from #plotcon is here: https://www. youtube.com/watch?v=RZkQcI edFO8 … more focused on trackr than #EARLConf2017 one. Also more memes";;@hspter;#plotcon #EARLConf2017;"872918368319266816";https://twitter.com/groundwalkergmb/status/872918368319266816
aaron_hamming;2017-06-08 19:11;2;4;"Thanks @MangoTheCat for a great EARL conference. Presentations were excellent and helpful. Plus, new laptop needed stickers. #EARLConf2017 pic.twitter.com/G1FuPNVQRT";;@MangoTheCat;#EARLConf2017;"872878835594690560";https://twitter.com/aaron_hamming/status/872878835594690560
TelegramBerja;2017-06-08 07:55;1;3;"RT revodavid: R #Rstats and #Python usage trends among Airbnb's 100+ data scientists — ricardobion at #EARLConf2017 https://t.co/0dWNAAD9…";;;#Rstats #Python #EARLConf2017;"872708573540888578";https://twitter.com/TelegramBerja/status/872708573540888578
earlconf;2017-06-08 03:54;0;9;"And that's a wrap! Thank you to our speakers, sponsors and delegates, we had a great time! See you in 2018! #EARLConf2017";;;#EARLConf2017;"872647940841422848";https://twitter.com/earlconf/status/872647940841422848
sellorm;2017-06-08 03:15;2;7;"Thanks to everyone who came to #EARLConf2017 . We've had an amazing time, but now it's​ time to head for home! Next stop, London!";;;#EARLConf2017;"872638154964185089";https://twitter.com/sellorm/status/872638154964185089
aaronjohnreyes0;2017-06-08 02:30;0;0;"#ThisIsWhyWePlay @NBA @ABC @QuickenLoans @StateFarm @SteveKerr @StephenCurry30 @KingJames @cavs @warriors #EARLConf2017 #3Cavs @WNBA @jack";;@NBA @ABC @QuickenLoans @StateFarm @SteveKerr @StephenCurry30 @KingJames @cavs @warriors @WNBA @jack;#ThisIsWhyWePlay #EARLConf2017 #3Cavs;"872626799049494528";https://twitter.com/aaronjohnreyes0/status/872626799049494528
aaronjohnreyes0;2017-06-08 02:24;0;0;"@ABC @NBA @SteveKerr @warriors @cavs @KingJames @StephenCurry30 #CMTawards #EARLConf2017 @StateFarm @QuickenLoans #ThisIsWhyWePlay @jack 666";;@ABC @NBA @SteveKerr @warriors @cavs @KingJames @StephenCurry30 @StateFarm @QuickenLoans @jack;#CMTawards #EARLConf2017 #ThisIsWhyWePlay;"872625414262280192";https://twitter.com/aaronjohnreyes0/status/872625414262280192
