username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bashlee_R;2017-06-07 21:56;1;4;"Great talk from @richatmango Also loved the Ancient Greek lesson ! #EARL2017 pic.twitter.com/Bafn1x6cq4";;@richatmango;#EARL2017;"872558018885320705";https://twitter.com/bashlee_R/status/872558018885320705
LouBajuk;2017-06-07 20:24;1;2;"Advice for transitioning from Excel to #rstats from Uber's @emilywbailey at #EARL2017 pic.twitter.com/w3TNiw0vWv";;@emilywbailey;#rstats #EARL2017;"872534840725225473";https://twitter.com/LouBajuk/status/872534840725225473
LouBajuk;2017-06-07 20:06;1;2;"Advantages of moving from Excel to R #rstats #EARL2017 pic.twitter.com/MI4tyrPYWY";;;#rstats #EARL2017;"872530226575626240";https://twitter.com/LouBajuk/status/872530226575626240
LouBajuk;2017-06-07 20:04;1;1;"What does an analyst do? #EARL2017 pic.twitter.com/ASt7Ql5z3z";;;#EARL2017;"872529738291490816";https://twitter.com/LouBajuk/status/872529738291490816
grousselle;2017-06-07 19:21;1;1;"Cool user model from Pandora #EARL2017 pic.twitter.com/q9JAEeokfG";;;#EARL2017;"872518817972342784";https://twitter.com/grousselle/status/872518817972342784
grousselle;2017-06-07 18:25;2;3;"Saturday night life in various cities based on Uber requests data #EARL2017 pic.twitter.com/vAWRWaXbvW";;;#EARL2017;"872504719960195072";https://twitter.com/grousselle/status/872504719960195072
LouBajuk;2017-06-07 17:15;2;3;". @MangoTheCat presenting on the various #DataScience teams at Uber #EARL2017 pic.twitter.com/qKwW6PpMks";;@MangoTheCat;#DataScience #EARL2017;"872487156840710144";https://twitter.com/LouBajuk/status/872487156840710144
daroczig;2017-06-07 00:36;2;12;"Thanks for having me at #EARL2017 , fantastic audience and questions! Please find my #rstats slides at http:// bit.ly/EARL-2017-SF-K inesis … if interested https:// twitter.com/sellorm/status /872234209569525760 …";;;#EARL2017 #rstats;"872235657858433024";https://twitter.com/daroczig/status/872235657858433024
LouBajuk;2017-06-06 22:41;0;0;"No Databricks, I'm sorry, I will not accept this as a verb. "Dogfooding our own solution" #earl2017";;;#earl2017;"872206871372812289";https://twitter.com/LouBajuk/status/872206871372812289
MangoMattGlover;2017-06-06 21:41;2;2;"Dennis Salguero talking about predictive policing in R! #earl2017 #earlconf #rstats pic.twitter.com/YLZ9ZtkYaF";;;#earl2017 #earlconf #rstats;"872191709496524800";https://twitter.com/MangoMattGlover/status/872191709496524800
johncwhitmer;2017-06-06 21:36;1;6;""It takes a big man to admit that his data is small" brilliant. Cited to @hadleywickam at #EARL2017";;@hadleywickam;#EARL2017;"872190537364844547";https://twitter.com/johncwhitmer/status/872190537364844547
daroczig;2017-06-06 20:27;5;8;"The first session at #earl2017 just ended with lot of interesting thoughts on building effective infra in production​ on the top of #rstats pic.twitter.com/WYYKiMIdWx – bei Holiday Inn Golden Gateway Hotel";;;#earl2017 #rstats;"872172996785446912";https://twitter.com/daroczig/status/872172996785446912
LouBajuk;2017-06-06 20:02;3;6;". @SelfScore is hiring for full stack #DataEngineer . Unicorns welcome. #EARL2017 pic.twitter.com/JuGPcDXO5u";;@SelfScore;#DataEngineer #EARL2017;"872166904328101888";https://twitter.com/LouBajuk/status/872166904328101888
LouBajuk;2017-06-06 19:46;4;6;"And the #rstats version #EARL2017 pic.twitter.com/YUvgEuoQXV";;;#rstats #EARL2017;"872162912818708480";https://twitter.com/LouBajuk/status/872162912818708480
