username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
m_a_upson;2017-09-14 13:45;2;4;"Great tips for #reproducibility from @revodavid @earlconf #EARLConf pic.twitter.com/UPr35dWs6l";;@revodavid @earlconf;#reproducibility #EARLConf;"908310743711350784";https://twitter.com/m_a_upson/status/908310743711350784
JennyBryan;2017-09-14 10:00;2;3;"Does your business benefit from #rstats ? Check out the @RConsortium ! @LouBajuk explains the importance of building the ecosystem. #EARLConf";;@RConsortium @LouBajuk;#rstats #EARLConf;"908254091104702465";https://twitter.com/JennyBryan/status/908254091104702465
dougashton;2017-09-14 09:21;1;3;"I will be stealing the term "technical artifact" from @hspter for a reproducible analysis output #earlconf";;@hspter;#earlconf;"908244307815084032";https://twitter.com/dougashton/status/908244307815084032
dougashton;2017-09-13 18:02;1;4;"Hope it stays dry for the boat! #earlconf pic.twitter.com/doIedWMkEX";;;#earlconf;"908013091014791170";https://twitter.com/dougashton/status/908013091014791170
AlFirrell;2017-09-13 17:30;2;6;"An experiment: 2 @MangoTheCat s, 2 daughters. Will they a. happily choose one each, b. fight for the "best", or c. not care? #EARLConf pic.twitter.com/RI9fCB4U4I";;@MangoTheCat;#EARLConf;"908005026303488000";https://twitter.com/AlFirrell/status/908005026303488000
hfcfrick;2017-09-13 17:10;1;3;"@mjaeugster taking the literal #datavis route at #EARLConf pic.twitter.com/8xFsJmKRrW";;@mjaeugster;#datavis #EARLConf;"907999816734724096";https://twitter.com/hfcfrick/status/907999816734724096
dougashton;2017-09-13 16:16;2;3;"The R class wars seem to be lining up behind R6 (although I still love S3 #EARLConf2017 #earlconf pic.twitter.com/ZLCZpXlHQe";;;#EARLConf2017 #earlconf;"907986408018771968";https://twitter.com/dougashton/status/907986408018771968
sellorm;2017-09-13 15:50;2;4;"Really nice to see some real world advice on best practice for deploying shiny apps #earlconf pic.twitter.com/Lfp9at67Jb";;;#earlconf;"907979922278363136";https://twitter.com/sellorm/status/907979922278363136
dougashton;2017-09-13 15:47;2;6;"An early theme from #EARLConf is that everyone uses @gitlab to store #rstats code. pic.twitter.com/RsjlH84lzF";;@gitlab;#EARLConf #rstats;"907978963439570945";https://twitter.com/dougashton/status/907978963439570945
sellorm;2017-09-13 15:40;1;3;"Grace Meyer talks about being a victim of your own success with #rstats and #rshiny - #earlconf pic.twitter.com/nadBwepfRU";;;#rstats #rshiny #earlconf;"907977385613676545";https://twitter.com/sellorm/status/907977385613676545
sellorm;2017-09-13 14:53;1;1;"Fascinating talk on the perceptual differences in colour space for visualisations in #rstats from Jonathan Usmar. #earlconf";;;#rstats #earlconf;"907965371998765056";https://twitter.com/sellorm/status/907965371998765056
sellorm;2017-09-13 14:20;1;4;"Really interesting talk from @neilcharles_uk on how @MediaComUK are using #rstats and shiny. #earlconf";;@neilcharles_uk @MediaComUK;#rstats #earlconf;"907957108578152448";https://twitter.com/sellorm/status/907957108578152448
TraineeGeek;2017-09-13 13:43;1;3;"@EARLConf really enjoying #EARLConf day 1, informative talks &keynotes. Lots of interesting projects using R &Shiny, incl sewer performance";;@EARLConf;#EARLConf;"907947920112177152";https://twitter.com/TraineeGeek/status/907947920112177152
sellorm;2017-09-13 10:24;3;13;"Mash-up of rage tweets by @JennyBryan and @tpoi at #EARLconf #rstats pic.twitter.com/R5T2OVi71v";;@JennyBryan @tpoi;#EARLconf #rstats;"907897788511506432";https://twitter.com/sellorm/status/907897788511506432
AlFirrell;2017-09-13 10:23;3;12;"Amen, sister! @JennyBryan #rstats #EARLConf pic.twitter.com/dwcs87sFXj";;@JennyBryan;#rstats #EARLConf;"907897592725610496";https://twitter.com/AlFirrell/status/907897592725610496
revodavid;2017-09-13 09:25;2;9;"UK Office of National Statistics is building up its Data Science practice — @_datasmith at #EARLConf pic.twitter.com/Hr8mjEODgi";;@_datasmith;#EARLConf;"907882975035052034";https://twitter.com/revodavid/status/907882975035052034
AlFirrell;2017-09-13 08:53;3;7;"Coffee? Check. Pastry? Check. 2 days of fascinating #rstats geek chat? Check. Bring on the #EARLConf !";;;#rstats #EARLConf;"907874979026481152";https://twitter.com/AlFirrell/status/907874979026481152
sellorm;2017-09-12 11:50;1;3;". @dougashton talks SparklyR and MLlib at #earlconf #rstats pic.twitter.com/xOBYjWta6t";;@dougashton;#earlconf #rstats;"907557059645800453";https://twitter.com/sellorm/status/907557059645800453
sellorm;2017-09-12 10:29;1;5;"#EARLconf and @aimeegott_R leading the workshop about #BigData and #rstats with SparklyR pic.twitter.com/KFg5EVs7lA";;@aimeegott_R;#EARLconf #BigData #rstats;"907536570659622912";https://twitter.com/sellorm/status/907536570659622912
dougashton;2017-09-12 10:27;2;3;"@aimeegott_R is starting dplyr (Spark SQL) and I'm prepping for MLlib in the -r workshop #EARLConf pic.twitter.com/OT6v8wCSAu";;@aimeegott_R;#EARLConf;"907536148171513858";https://twitter.com/dougashton/status/907536148171513858
timvg80;2017-09-12 10:08;0;3;"Nice view from work today. #EARLconf pic.twitter.com/aTNNiGDipG";;;#EARLconf;"907531433333411840";https://twitter.com/timvg80/status/907531433333411840
aimeegott_R;2017-09-12 10:05;2;4;"Talking big data in #rstats in the sparklyr workshop at #earlconf with @dougashton and @sellorm pic.twitter.com/4EJpi2ntBg";;@dougashton @sellorm;#rstats #earlconf;"907530608620040192";https://twitter.com/aimeegott_R/status/907530608620040192
earlconf;2017-09-07 17:19;3;6;"Less than a week now! We can't wait! #rstats #earlconf https:// twitter.com/MangoTheCat/st atus/905827674718920706 …";;;#rstats #earlconf;"905827865115189248";https://twitter.com/earlconf/status/905827865115189248
MangoTheCat;2017-09-06 08:06;1;1;"Bring on next week! Thanks for the great post @revodavid !! #rstats #DataScience #EARLConf https:// twitter.com/revodavid/stat us/905086173659500545 …";;@revodavid;#rstats #DataScience #EARLConf;"905326405130620929";https://twitter.com/MangoTheCat/status/905326405130620929
earlconf;2017-09-05 17:22;0;1;"We're getting super excited! #rstats #EARLConf #datascience https:// twitter.com/revodavid/stat us/905086173659500545 …";;;#rstats #EARLConf #datascience;"905103810502287362";https://twitter.com/earlconf/status/905103810502287362
